id,name,resorts,land,note,hidden,only_here,source,claude_check
shdr-pirates,Pirates of the Caribbean: Battle for the Sunken Treasure,shdr,shdr: Treasure Cove,Shanghai's original Pirates attraction.,yes,yes,expanded-2026,"Hidden: a repeat of ""pirates-sunken-treasure"", which already lists every resort this row does. Un-hide it if you'd rather keep this one."
shdr-zootopia-hot-pursuit,Zootopia: Hot Pursuit,shdr,shdr: Zootopia,Shanghai's Zootopia dark ride.,,yes,expanded-2026,
shdr-soaring,Soaring Over the Horizon,shdr,shdr: Adventure Isle,Shanghai's original Soarin' attraction.,,,expanded-2026,
shdr-roaring-rapids,Roaring Rapids,shdr,shdr: Adventure Isle,Adventure Isle raft ride.,,,expanded-2026,
shdr-tron,TRON Lightcycle Power Run,shdr wdw,shdr: Tomorrowland; wdw: Tomorrowland,Shanghai's TRON coaster; Walt Disney World has TRON Lightcycle / Run.,yes,,expanded-2026,"Hidden: a repeat of ""tron"", which already lists every resort this row does. Un-hide it if you'd rather keep this one."
shdr-seven-dwarfs,Seven Dwarfs Mine Train,shdr wdw,shdr: Fantasyland; wdw: Fantasyland (Storybook Circus),Fantasyland mine-train coaster.,yes,,expanded-2026,"Hidden: a repeat of ""wdw-seven-dwarfs"", which already lists every resort this row does. Un-hide it if you'd rather keep this one."
shdr-boat,Voyage to the Crystal Grotto,shdr,shdr: Fantasyland,Fantasyland boat attraction.,,yes,expanded-2026,
shdr-jet-packs,Jet Packs,shdr,shdr: Tomorrowland,Tomorrowland spinning attraction.,,yes,expanded-2026,
shdr-rex,Rex's Racer,shdr,shdr: Disney•Pixar Toy Story Land,Toy Story Land shuttle coaster.,,yes,expanded-2026,
shdr-woody,Woody's Roundup,shdr,shdr: Disney•Pixar Toy Story Land,Toy Story Land spinning attraction.,,yes,expanded-2026,
shdr-slinky,Slinky Dog Spin,shdr,shdr: Disney•Pixar Toy Story Land,Toy Story Land spinning attraction.,,yes,expanded-2026,
shdr-peter-pan,Peter Pan's Flight,shdr wdw dlr tdr hkdl dlp,shdr: Fantasyland; wdw: Fantasyland; dlr: Fantasyland; tdr: Fantasyland; hkdl: Fantasyland; dlp: Fantasyland,Classic Fantasyland dark ride.,,,expanded-2026,Worth checking: Hong Kong Disneyland isn't known to have Peter Pan's Flight — hkdl may not belong here.
shdr-winnie,The Many Adventures of Winnie the Pooh,shdr wdw dlr tdr hkdl,shdr: Fantasyland; wdw: Fantasyland; dlr: Critter Country; tdr: Fantasyland; hkdl: Fantasyland,Winnie the Pooh dark ride.,yes,,expanded-2026,"Hidden: a repeat of ""wdw-winnie-pooh"", which already lists every resort this row does. Un-hide it if you'd rather keep this one."
shdr-buzz,Buzz Lightyear Planet Rescue,shdr,shdr: Tomorrowland,Shanghai's Buzz Lightyear interactive attraction.,,yes,expanded-2026,
